observer id,session id,left image,right image,selected image,time spent (in seconds)
2562,6958,0874_ResShift.png,0874_RealESRGAN.png,0874_ResShift.png,4
2562,6958,0874_RealESRGAN.png,0874_BSRGAN.png,0874_RealESRGAN.png,6
2562,6958,0825_ResShift.png,0825_BSRGAN.png,0825_ResShift.png,7
2562,6958,0825_BSRGAN.png,0825_RealESRGAN.png,0825_RealESRGAN.png,2
2562,6958,0825_ResShift.png,0825_SwinIR.png,0825_ResShift.png,1
2562,6958,0825_RealESRGAN.png,0825_SwinIR.png,0825_RealESRGAN.png,3
2562,6958,0825_BSRGAN.png,0825_SwinIR.png,0825_BSRGAN.png,28
2562,6958,0825_ResShift.png,0825_RealESRGAN.png,0825_ResShift.png,1
2562,6958,0814_ResShift.png,0814_RealESRGAN.png,0814_ResShift.png,13
2562,6958,0814_SwinIR.png,0814_ResShift.png,0814_ResShift.png,1
2562,6958,0814_BSRGAN.png,0814_SwinIR.png,0814_BSRGAN.png,15
2562,6958,0814_RealESRGAN.png,0814_BSRGAN.png,0814_BSRGAN.png,3
2562,6958,0814_BSRGAN.png,0814_ResShift.png,0814_BSRGAN.png,3
2562,6958,0814_SwinIR.png,0814_RealESRGAN.png,0814_RealESRGAN.png,2
2562,6958,0809_RealESRGAN.png,0809_ResShift.png,0809_ResShift.png,17
2562,6958,0809_ResShift.png,0809_SwinIR.png,0809_SwinIR.png,8
2562,6958,0809_RealESRGAN.png,0809_SwinIR.png,0809_SwinIR.png,18
2562,6958,0809_BSRGAN.png,0809_SwinIR.png,0809_SwinIR.png,1
2562,6958,0809_BSRGAN.png,0809_ResShift.png,0809_ResShift.png,8
2562,6958,0809_RealESRGAN.png,0809_BSRGAN.png,0809_RealESRGAN.png,15
2562,6958,0841_ResShift.png,0841_RealESRGAN.png,0841_ResShift.png,9
2562,6958,0841_SwinIR.png,0841_BSRGAN.png,0841_SwinIR.png,5
2562,6958,0841_RealESRGAN.png,0841_SwinIR.png,0841_SwinIR.png,3
2562,6958,0841_ResShift.png,0841_BSRGAN.png,0841_ResShift.png,15
2562,6958,0841_BSRGAN.png,0841_RealESRGAN.png,0841_BSRGAN.png,8
2562,6958,0841_ResShift.png,0841_SwinIR.png,0841_ResShift.png,3
2562,6958,0862_ResShift.png,0862_BSRGAN.png,0862_ResShift.png,10
2562,6958,0862_SwinIR.png,0862_BSRGAN.png,0862_BSRGAN.png,2
2562,6958,0862_ResShift.png,0862_SwinIR.png,0862_ResShift.png,1
2562,6958,0862_ResShift.png,0862_RealESRGAN.png,0862_ResShift.png,2
2562,6958,0862_RealESRGAN.png,0862_SwinIR.png,0862_RealESRGAN.png,4
2562,6958,0862_BSRGAN.png,0862_RealESRGAN.png,0862_BSRGAN.png,2
2562,6958,0837_RealESRGAN.png,0837_SwinIR.png,0837_RealESRGAN.png,8
2562,6958,0837_RealESRGAN.png,0837_BSRGAN.png,0837_RealESRGAN.png,2
2562,6958,0837_BSRGAN.png,0837_ResShift.png,0837_BSRGAN.png,7
2562,6958,0837_RealESRGAN.png,0837_ResShift.png,0837_RealESRGAN.png,2
2562,6958,0837_BSRGAN.png,0837_SwinIR.png,0837_BSRGAN.png,19
2562,6958,0837_ResShift.png,0837_SwinIR.png,0837_ResShift.png,2
2562,6958,0896_BSRGAN.png,0896_SwinIR.png,0896_BSRGAN.png,4
2562,6958,0896_RealESRGAN.png,0896_BSRGAN.png,0896_BSRGAN.png,10
2562,6958,0896_ResShift.png,0896_RealESRGAN.png,0896_ResShift.png,2
2562,6958,0896_SwinIR.png,0896_ResShift.png,0896_ResShift.png,1
2562,6958,0896_ResShift.png,0896_BSRGAN.png,0896_ResShift.png,2
2562,6958,0896_SwinIR.png,0896_RealESRGAN.png,0896_RealESRGAN.png,10
2562,6959,0837_SwinIR.png,0837_BSRGAN.png,0837_BSRGAN.png,6
2562,6959,0837_BSRGAN.png,0837_RealESRGAN.png,0837_RealESRGAN.png,1
2562,6959,0837_BSRGAN.png,0837_ResShift.png,0837_BSRGAN.png,1
2562,6959,0837_ResShift.png,0837_SwinIR.png,0837_SwinIR.png,0
2562,6959,0837_ResShift.png,0837_RealESRGAN.png,0837_ResShift.png,0
2562,6959,0837_SwinIR.png,0837_RealESRGAN.png,0837_RealESRGAN.png,0
2562,6959,0887_BSRGAN.png,0887_ResShift.png,0887_BSRGAN.png,0
2562,6959,0887_ResShift.png,0887_SwinIR.png,0887_SwinIR.png,0
2562,6959,0887_ResShift.png,0887_RealESRGAN.png,0887_ResShift.png,0
2562,6959,0887_SwinIR.png,0887_BSRGAN.png,0887_BSRGAN.png,0
2562,6959,0887_SwinIR.png,0887_RealESRGAN.png,0887_RealESRGAN.png,0
2562,6959,0887_RealESRGAN.png,0887_BSRGAN.png,0887_BSRGAN.png,1
2562,6959,0809_BSRGAN.png,0809_SwinIR.png,0809_SwinIR.png,1
2562,6959,0809_ResShift.png,0809_BSRGAN.png,0809_BSRGAN.png,0
2562,6959,0809_SwinIR.png,0809_ResShift.png,0809_ResShift.png,0
2562,6959,0809_ResShift.png,0809_RealESRGAN.png,0809_RealESRGAN.png,0
